[01-04-23 17:50:59.296] LOG  : General     , 1680364259296> cachedir set to "C:\Users\Aleksa\Zomboid".
[01-04-23 17:50:59.331] LOG  : General     , 1680364259331> 01-04-2023 17:50:59.
[01-04-23 17:50:59.332] LOG  : General     , 1680364259332> cachedir is "C:\Users\Aleksa\Zomboid".
[01-04-23 17:50:59.332] LOG  : General     , 1680364259332> LogFileDir is "C:\Users\Aleksa\Zomboid\Logs".
[01-04-23 17:50:59.332] LOG  : General     , 1680364259332> ===== System specs =====.
[01-04-23 17:50:59.334] LOG  : General     , 1680364259334> OS: Windows 10, version: 10.0, arch: amd64.
[01-04-23 17:50:59.335] LOG  : General     , 1680364259335> Processor: AMD64 Family 23 Model 113 Stepping 0, AuthenticAMD.
[01-04-23 17:50:59.335] LOG  : General     , 1680364259335> Processor cores: 8.
[01-04-23 17:50:59.339] LOG  : General     , 1680364259338> Available processors (cores): 8.
[01-04-23 17:50:59.341] LOG  : General     , 1680364259341> Memory free: 238.53214 MB.
[01-04-23 17:50:59.342] LOG  : General     , 1680364259342> Memory max: 3072.0 MB.
[01-04-23 17:50:59.342] LOG  : General     , 1680364259342> Memory  total available to JVM: 256.0 MB.
[01-04-23 17:50:59.370] LOG  : General     , 1680364259370> C:\, Total: 237.86163 GB, Free: 36.246956 GB.
[01-04-23 17:50:59.370] LOG  : General     , 1680364259370> E:\, Total: 1782.917 GB, Free: 1054.423 GB.
[01-04-23 17:50:59.550] LOG  : General     , 1680364259550> Mobo = [Product=B450M PRO-M2 MAX (MS-7B84)].
[01-04-23 17:50:59.659] LOG  : General     , 1680364259659> CPU = [Manufacturer=AuthenticAMD,MaxClockSpeed=3801,Name=AMD Ryzen 3 3300X 4-Core Processor].
[01-04-23 17:50:59.779] LOG  : General     , 1680364259779> Graphics = [AdapterRAM=4293918720,DriverVersion=31.0.15.3141,Name=NVIDIA GeForce GTX 1660 Ti].
[01-04-23 17:50:59.894] LOG  : General     , 1680364259893> VideoMode = [VideoModeDescription=2560 x 1440 x 4294967296 colors].
[01-04-23 17:51:00.013] LOG  : General     , 1680364260013> Sound = { [Manufacturer=Logitech,Name=Webcam C210], [Manufacturer=NVIDIA,Name=NVIDIA High Definition Audio], [Manufacturer=Valve Corporation Audio DDK,Name=Steam Streaming Microphone], [Manufacturer=Razer,Name=7.1 Surround Sound], [Manufacturer=(Generic USB Audio),Name=USB Audio Device], [Manufacturer=Valve Corporation Audio DDK,Name=Steam Streaming Speakers], [Manufacturer=Realtek,Name=Realtek High Definition Audio], [Manufacturer=NVIDIA,Name=NVIDIA Virtual Audio Device (Wave Extensible) (WDM)] }.
[01-04-23 17:51:00.124] LOG  : General     , 1680364260124> Memory RAM = { [Capacity=8589934592,Manufacturer=Kingston], [Capacity=8589934592,Manufacturer=Kingston] }.
[01-04-23 17:51:00.124] LOG  : General     , 1680364260124> ========================.
[01-04-23 17:51:00.125] LOG  : General     , 1680364260125> -- listing properties --.
